n_features,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
22,218.54475712776184,0.0,18.884159564971924,0.0,1,0.01,rbf,"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}",0.8257638315441784,0.8257638315441784,0.0,18
22,167.1837089061737,0.0,4.851646900177002,0.0,1,0.1,linear,"{'C': 1, 'gamma': 0.1, 'kernel': 'linear'}",0.8940563991323212,0.8940563991323212,0.0,13
22,190.39174461364746,0.0,13.167502403259277,0.0,1,0.1,rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.8844475475650201,0.8844475475650201,0.0,17
22,167.01839137077332,0.0,5.050699234008789,0.0,1,1,linear,"{'C': 1, 'gamma': 1, 'kernel': 'linear'}",0.8940563991323212,0.8940563991323212,0.0,13
22,165.34652495384216,0.0,14.882997512817383,0.0,1,1,rbf,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",0.8960331864143116,0.8960331864143116,0.0,4
22,154.7337408065796,0.0,4.155282258987427,0.0,10,0.01,linear,"{'C': 10, 'gamma': 0.01, 'kernel': 'linear'}",0.894686660310306,0.894686660310306,0.0,7
22,190.4272541999817,0.0,13.466540575027466,0.0,10,0.01,rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",0.8856694012916739,0.8856694012916739,0.0,16
22,154.33478593826294,0.0,4.248701333999634,0.0,10,0.1,linear,"{'C': 10, 'gamma': 0.1, 'kernel': 'linear'}",0.894686660310306,0.894686660310306,0.0,7
22,161.91565895080566,0.0,14.831723690032959,0.0,10,0.1,rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",0.8958459804006592,0.8958459804006592,0.0,5
22,154.55900692939758,0.0,4.163265705108643,0.0,10,1,linear,"{'C': 10, 'gamma': 1, 'kernel': 'linear'}",0.894686660310306,0.894686660310306,0.0,7
22,142.54079604148865,0.0,13.643706560134888,0.0,10,1,rbf,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",0.8986799245671182,0.8986799245671182,0.0,2
22,187.62090802192688,0.0,2.7196285724639893,0.0,100,0.01,linear,"{'C': 100, 'gamma': 0.01, 'kernel': 'linear'}",0.8945498656962135,0.8945498656962135,0.0,10
22,165.45377278327942,0.0,14.453699350357056,0.0,100,0.01,rbf,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}",0.8952480055497746,0.8952480055497746,0.0,6
22,187.88381242752075,0.0,2.7406744956970215,0.0,100,0.1,linear,"{'C': 100, 'gamma': 0.1, 'kernel': 'linear'}",0.8945498656962135,0.8945498656962135,0.0,10
22,59.92424201965332,0.0,9.32330846786499,0.0,100,0.1,rbf,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",0.8977439709568675,0.8977439709568675,0.0,3
22,68.08480191230774,0.0,2.653623580932617,0.0,100,1,linear,"{'C': 100, 'gamma': 1, 'kernel': 'linear'}",0.8945498656962135,0.8945498656962135,0.0,10
22,78.22715258598328,0.0,8.056056499481201,0.0,100,1,rbf,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8987039563437926,0.8987039563437926,0.0,1
21,160.07591938972473,0.0,4.863222360610962,0.0,1,0.01,linear,"{'C': 1, 'gamma': 0.01, 'kernel': 'linear'}",0.8938053097345133,0.8938053097345133,0.0,13
21,194.1277666091919,0.0,21.401928663253784,0.0,1,0.01,rbf,"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}",0.8256123291441152,0.8256123291441152,0.0,18
21,160.52380847930908,0.0,4.814454555511475,0.0,1,0.1,linear,"{'C': 1, 'gamma': 0.1, 'kernel': 'linear'}",0.8938053097345133,0.8938053097345133,0.0,13
21,181.23875617980957,0.0,56.01588177680969,0.0,1,0.1,rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.8846220980973993,0.8846220980973993,0.0,17
21,160.36553359031677,0.0,5.001611948013306,0.0,1,1,linear,"{'C': 1, 'gamma': 1, 'kernel': 'linear'}",0.8938053097345133,0.8938053097345133,0.0,13
21,162.72133350372314,0.0,46.809441804885864,0.0,1,1,rbf,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",0.8960511535470491,0.8960511535470491,0.0,4
