n_features,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_n_estimators,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
8,10.396060466766357,0.0,0.43088817596435547,0.0,entropy,1000,"{'criterion': 'entropy', 'n_estimators': 1000}",0.9587229190421893,0.9587229190421893,0.0,12
7,1.1989960670471191,0.0,0.054999351501464844,0.0,gini,100,"{'criterion': 'gini', 'n_estimators': 100}",0.9595058339052849,0.9595058339052849,0.0,11
7,2.404996633529663,0.0,0.09800052642822266,0.0,gini,200,"{'criterion': 'gini', 'n_estimators': 200}",0.9606946983546618,0.9606946983546618,0.0,3
7,4.330995798110962,0.0,0.2090005874633789,0.0,gini,400,"{'criterion': 'gini', 'n_estimators': 400}",0.9597989949748744,0.9597989949748744,0.0,7
7,6.2210001945495605,0.0,0.2569997310638428,0.0,gini,600,"{'criterion': 'gini', 'n_estimators': 600}",0.959780621572212,0.959780621572212,0.0,8
7,8.263999223709106,0.0,0.3399999141693115,0.0,gini,800,"{'criterion': 'gini', 'n_estimators': 800}",0.9595613433858808,0.9595613433858808,0.0,9
7,9.987999677658081,0.0,0.4330000877380371,0.0,gini,1000,"{'criterion': 'gini', 'n_estimators': 1000}",0.9604752113319626,0.9604752113319626,0.0,4
7,1.2429962158203125,0.0,0.05000114440917969,0.0,entropy,100,"{'criterion': 'entropy', 'n_estimators': 100}",0.9593235831809871,0.9593235831809871,0.0,12
7,2.417996644973755,0.0,0.10399889945983887,0.0,entropy,200,"{'criterion': 'entropy', 'n_estimators': 200}",0.9595243539903956,0.9595243539903956,0.0,10
7,4.672001361846924,0.0,0.1739978790283203,0.0,entropy,400,"{'criterion': 'entropy', 'n_estimators': 400}",0.9598356914650845,0.9598356914650845,0.0,6
7,6.5099992752075195,0.0,0.2500002384185791,0.0,entropy,600,"{'criterion': 'entropy', 'n_estimators': 600}",0.9602739726027398,0.9602739726027398,0.0,5
7,8.571995973587036,0.0,0.32599973678588867,0.0,entropy,800,"{'criterion': 'entropy', 'n_estimators': 800}",0.9612226277372263,0.9612226277372263,0.0,2
7,10.201995611190796,0.0,0.4240000247955322,0.0,entropy,1000,"{'criterion': 'entropy', 'n_estimators': 1000}",0.9614419347478896,0.9614419347478896,0.0,1
6,1.1519923210144043,0.0,0.05699753761291504,0.0,gini,100,"{'criterion': 'gini', 'n_estimators': 100}",0.96,0.96,0.0,2
6,2.285991668701172,0.0,0.1009981632232666,0.0,gini,200,"{'criterion': 'gini', 'n_estimators': 200}",0.96,0.96,0.0,2
6,4.2979896068573,0.0,0.18300104141235352,0.0,gini,400,"{'criterion': 'gini', 'n_estimators': 400}",0.9597622313671696,0.9597622313671696,0.0,6
6,6.226845026016235,0.0,0.2570791244506836,0.0,gini,600,"{'criterion': 'gini', 'n_estimators': 600}",0.959743824336688,0.959743824336688,0.0,7
6,8.319923877716064,0.0,0.32900071144104004,0.0,gini,800,"{'criterion': 'gini', 'n_estimators': 800}",0.9595058339052849,0.9595058339052849,0.0,10
6,9.70992398262024,0.0,0.4220004081726074,0.0,gini,1000,"{'criterion': 'gini', 'n_estimators': 1000}",0.9595058339052849,0.9595058339052849,0.0,10
6,1.2209930419921875,0.0,0.05199742317199707,0.0,entropy,100,"{'criterion': 'entropy', 'n_estimators': 100}",0.9590295262073701,0.9590295262073701,0.0,12
6,2.335989475250244,0.0,0.10000014305114746,0.0,entropy,200,"{'criterion': 'entropy', 'n_estimators': 200}",0.9599633951040951,0.9599633951040951,0.0,5
6,4.515990495681763,0.0,0.17000150680541992,0.0,entropy,400,"{'criterion': 'entropy', 'n_estimators': 400}",0.9597254004576659,0.9597254004576659,0.0,8
6,6.603924512863159,0.0,0.3000001907348633,0.0,entropy,600,"{'criterion': 'entropy', 'n_estimators': 600}",0.9595243539903956,0.9595243539903956,0.0,9
6,8.14492654800415,0.0,0.3359999656677246,0.0,entropy,800,"{'criterion': 'entropy', 'n_estimators': 800}",0.9599817059227076,0.9599817059227076,0.0,4
6,9.93393325805664,0.0,0.41900038719177246,0.0,entropy,1000,"{'criterion': 'entropy', 'n_estimators': 1000}",0.9606767261088249,0.9606767261088249,0.0,1
5,1.1240005493164062,0.0,0.05100202560424805,0.0,gini,100,"{'criterion': 'gini', 'n_estimators': 100}",0.9587345254470426,0.9587345254470426,0.0,11
5,2.260999917984009,0.0,0.10400080680847168,0.0,gini,200,"{'criterion': 'gini', 'n_estimators': 200}",0.9589543682641596,0.9589543682641596,0.0,10
5,4.221997499465942,0.0,0.21700024604797363,0.0,gini,400,"{'criterion': 'gini', 'n_estimators': 400}",0.9603483841393535,0.9603483841393535,0.0,5
5,6.10399866104126,0.0,0.254000186920166,0.0,gini,600,"{'criterion': 'gini', 'n_estimators': 600}",0.9608067843227138,0.9608067843227138,0.0,1
5,7.848003387451172,0.0,0.32399654388427734,0.0,gini,800,"{'criterion': 'gini', 'n_estimators': 800}",0.9605866177818515,0.9605866177818515,0.0,2
5,9.660618782043457,0.0,0.42303895950317383,0.0,gini,1000,"{'criterion': 'gini', 'n_estimators': 1000}",0.9605866177818515,0.9605866177818515,0.0,2
5,1.1629979610443115,0.0,0.052001237869262695,0.0,entropy,100,"{'criterion': 'entropy', 'n_estimators': 100}",0.9585147834059133,0.9585147834059133,0.0,12
5,2.300999879837036,0.0,0.08600258827209473,0.0,entropy,200,"{'criterion': 'entropy', 'n_estimators': 200}",0.9603847034577514,0.9603847034577514,0.0,4
5,4.300000429153442,0.0,0.16500020027160645,0.0,entropy,400,"{'criterion': 'entropy', 'n_estimators': 400}",0.9592304168575354,0.9592304168575354,0.0,9
5,6.169999361038208,0.0,0.2400038242340088,0.0,entropy,600,"{'criterion': 'entropy', 'n_estimators': 600}",0.96012832263978,0.96012832263978,0.0,6
5,8.084999561309814,0.0,0.32700371742248535,0.0,entropy,800,"{'criterion': 'entropy', 'n_estimators': 800}",0.96012832263978,0.96012832263978,0.0,6
5,9.985658645629883,0.0,0.42041492462158203,0.0,entropy,1000,"{'criterion': 'entropy', 'n_estimators': 1000}",0.96012832263978,0.96012832263978,0.0,6
4,1.1720006465911865,0.0,0.04900050163269043,0.0,gini,100,"{'criterion': 'gini', 'n_estimators': 100}",0.9575395914620152,0.9575395914620152,0.0,11
4,2.274000644683838,0.0,0.0970001220703125,0.0,gini,200,"{'criterion': 'gini', 'n_estimators': 200}",0.957979334098737,0.957979334098737,0.0,6
4,4.443000555038452,0.0,0.1660001277923584,0.0,gini,400,"{'criterion': 'gini', 'n_estimators': 400}",0.9578175149014213,0.9578175149014213,0.0,7
4,6.203153610229492,0.0,0.24300050735473633,0.0,gini,600,"{'criterion': 'gini', 'n_estimators': 600}",0.958037147443247,0.958037147443247,0.0,5
4,8.029160022735596,0.0,0.3179938793182373,0.0,gini,800,"{'criterion': 'gini', 'n_estimators': 800}",0.958276020174232,0.958276020174232,0.0,2
4,9.793435335159302,0.0,0.4052159786224365,0.0,gini,1000,"{'criterion': 'gini', 'n_estimators': 1000}",0.9578175149014213,0.9578175149014213,0.0,7
4,1.2660009860992432,0.0,0.04799795150756836,0.0,entropy,100,"{'criterion': 'entropy', 'n_estimators': 100}",0.9566215285747075,0.9566215285747075,0.0,12
4,2.4750008583068848,0.0,0.07799768447875977,0.0,entropy,200,"{'criterion': 'entropy', 'n_estimators': 200}",0.9578175149014213,0.9578175149014213,0.0,7
4,4.451001405715942,0.0,0.15399718284606934,0.0,entropy,400,"{'criterion': 'entropy', 'n_estimators': 400}",0.9582568807339449,0.9582568807339449,0.0,3
4,6.394148349761963,0.0,0.22099876403808594,0.0,entropy,600,"{'criterion': 'entropy', 'n_estimators': 600}",0.9578175149014213,0.9578175149014213,0.0,7
4,8.09714651107788,0.0,0.29000258445739746,0.0,entropy,800,"{'criterion': 'entropy', 'n_estimators': 800}",0.958295142071494,0.958295142071494,0.0,1
4,10.038900136947632,0.0,0.36675024032592773,0.0,entropy,1000,"{'criterion': 'entropy', 'n_estimators': 1000}",0.9580563832225534,0.9580563832225534,0.0,4
3,0.8951625823974609,0.0,0.052001953125,0.0,gini,100,"{'criterion': 'gini', 'n_estimators': 100}",0.9566811826724732,0.9566811826724732,0.0,10
3,1.7312946319580078,0.0,0.09600090980529785,0.0,gini,200,"{'criterion': 'gini', 'n_estimators': 200}",0.9571395828558331,0.9571395828558331,0.0,7
3,3.334291934967041,0.0,0.20800280570983887,0.0,gini,400,"{'criterion': 'gini', 'n_estimators': 400}",0.9566811826724732,0.9566811826724732,0.0,10
3,4.690291166305542,0.0,0.25300097465515137,0.0,gini,600,"{'criterion': 'gini', 'n_estimators': 600}",0.9576174112256586,0.9576174112256586,0.0,2
3,5.904293060302734,0.0,0.3249998092651367,0.0,gini,800,"{'criterion': 'gini', 'n_estimators': 800}",0.9575979830391933,0.9575979830391933,0.0,4
3,7.185799837112427,0.0,0.40034008026123047,0.0,gini,1000,"{'criterion': 'gini', 'n_estimators': 1000}",0.9578368469294225,0.9578368469294225,0.0,1
3,0.9601633548736572,0.0,0.05299949645996094,0.0,entropy,100,"{'criterion': 'entropy', 'n_estimators': 100}",0.9571592210767469,0.9571592210767469,0.0,6
