n_features,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_hidden_layer_sizes,param_learning_rate_init,param_solver,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
24,2.754171848297119,0.0,0.0,0.0,"(10, 10)",0.1,adam,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.1, 'solver': 'adam'}",0.8972917731221258,0.8972917731221258,0.0,12
24,9.539039134979248,0.0,0.005000114440917969,0.0,"(20, 20)",0.001,sgd,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.001, 'solver': 'sgd'}",0.8985458234697328,0.8985458234697328,0.0,9
24,5.19675874710083,0.0,0.0,0.0,"(20, 20)",0.001,adam,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.001, 'solver': 'adam'}",0.8995936335929563,0.8995936335929563,0.0,5
24,4.65188193321228,0.0,0.015640735626220703,0.0,"(20, 20)",0.01,sgd,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.01, 'solver': 'sgd'}",0.9007749326145552,0.9007749326145552,0.0,2
24,2.700559616088867,0.0,0.0060617923736572266,0.0,"(20, 20)",0.01,adam,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.01, 'solver': 'adam'}",0.8988474109754,0.8988474109754,0.0,7
24,3.708815097808838,0.0,0.019785165786743164,0.0,"(20, 20)",0.1,sgd,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.1, 'solver': 'sgd'}",0.8959577008357495,0.8959577008357495,0.0,15
24,2.162461280822754,0.0,0.006078243255615234,0.0,"(20, 20)",0.1,adam,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.1, 'solver': 'adam'}",0.8962055470478135,0.8962055470478135,0.0,14
23,8.161921977996826,0.0,0.01784038543701172,0.0,10,0.001,sgd,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.001, 'solver': 'sgd'}",0.86737470376547,0.86737470376547,0.0,24
23,7.218623161315918,0.0,0.0,0.0,10,0.001,adam,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.001, 'solver': 'adam'}",0.8973084176238644,0.8973084176238644,0.0,17
23,4.863656520843506,0.0,0.0030622482299804688,0.0,10,0.01,sgd,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.01, 'solver': 'sgd'}",0.8964384508990317,0.8964384508990317,0.0,18
23,3.7006947994232178,0.0,0.00799417495727539,0.0,10,0.01,adam,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.01, 'solver': 'adam'}",0.9013608317132955,0.9013608317132955,0.0,2
23,3.0884289741516113,0.0,0.006998300552368164,0.0,10,0.1,sgd,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.1, 'solver': 'sgd'}",0.9005937234944869,0.9005937234944869,0.0,5
23,2.050818681716919,0.0,0.0,0.0,10,0.1,adam,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.1, 'solver': 'adam'}",0.8998316498316498,0.8998316498316498,0.0,9
23,8.82998514175415,0.0,0.004000186920166016,0.0,20,0.001,sgd,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.001, 'solver': 'sgd'}",0.8710740933541558,0.8710740933541558,0.0,23
