n_features,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
19,0.009004592895507812,0.0,5.163870334625244,0.0,25,1,"{'n_neighbors': 25, 'p': 1}",0.9132222462670417,0.9132222462670417,0.0,8
19,0.005997419357299805,0.0,4.771873235702515,0.0,25,2,"{'n_neighbors': 25, 'p': 2}",0.9298924731182796,0.9298924731182796,0.0,2
19,0.011008262634277344,0.0,5.080867290496826,0.0,30,1,"{'n_neighbors': 30, 'p': 1}",0.9086139046786182,0.9086139046786182,0.0,12
19,0.011008262634277344,0.0,4.723864793777466,0.0,30,2,"{'n_neighbors': 30, 'p': 2}",0.9290043290043289,0.9290043290043289,0.0,4
18,0.006420612335205078,0.0,5.23065185546875,0.0,5,1,"{'n_neighbors': 5, 'p': 1}",0.9181248649816375,0.9181248649816375,0.0,8
18,0.00641179084777832,0.0,5.02966046333313,0.0,5,2,"{'n_neighbors': 5, 'p': 2}",0.9287257019438445,0.9287257019438445,0.0,5
18,0.006420612335205078,0.0,5.140650749206543,0.0,10,1,"{'n_neighbors': 10, 'p': 1}",0.9140848165238409,0.9140848165238409,0.0,12
18,0.006999969482421875,0.0,4.9456586837768555,0.0,10,2,"{'n_neighbors': 10, 'p': 2}",0.9282755613690865,0.9282755613690865,0.0,6
18,0.007411479949951172,0.0,5.1196608543396,0.0,15,1,"{'n_neighbors': 15, 'p': 1}",0.9179620034542315,0.9179620034542315,0.0,9
18,0.007416248321533203,0.0,4.783655881881714,0.0,15,2,"{'n_neighbors': 15, 'p': 2}",0.9325601374570447,0.9325601374570447,0.0,1
18,0.007416248321533203,0.0,5.266655921936035,0.0,20,1,"{'n_neighbors': 20, 'p': 1}",0.9148099606815203,0.9148099606815203,0.0,11
18,0.006999969482421875,0.0,5.040661334991455,0.0,20,2,"{'n_neighbors': 20, 'p': 2}",0.9306245947698294,0.9306245947698294,0.0,2
18,0.007411479949951172,0.0,5.233659982681274,0.0,25,1,"{'n_neighbors': 25, 'p': 1}",0.9195849546044099,0.9195849546044099,0.0,7
18,0.005995512008666992,0.0,4.969659805297852,0.0,25,2,"{'n_neighbors': 25, 'p': 2}",0.9299417978012503,0.9299417978012503,0.0,3
18,0.011414766311645508,0.0,5.2086567878723145,0.0,30,1,"{'n_neighbors': 30, 'p': 1}",0.915557495090552,0.915557495090552,0.0,10
18,0.006420612335205078,0.0,5.073652505874634,0.0,30,2,"{'n_neighbors': 30, 'p': 2}",0.9291747888239117,0.9291747888239117,0.0,4
17,0.003999948501586914,0.0,5.854175806045532,0.0,5,1,"{'n_neighbors': 5, 'p': 1}",0.9193862113680571,0.9193862113680571,0.0,8
17,0.006006717681884766,0.0,5.541170597076416,0.0,5,2,"{'n_neighbors': 5, 'p': 2}",0.9315186865413697,0.9315186865413697,0.0,3
17,0.003000020980834961,0.0,5.54317831993103,0.0,10,1,"{'n_neighbors': 10, 'p': 1}",0.917600527356625,0.917600527356625,0.0,10
17,0.019992828369140625,0.0,5.662169694900513,0.0,10,2,"{'n_neighbors': 10, 'p': 2}",0.9312146277753591,0.9312146277753591,0.0,4
17,0.02901482582092285,0.0,5.835151672363281,0.0,15,1,"{'n_neighbors': 15, 'p': 1}",0.9162881245944192,0.9162881245944192,0.0,12
17,0.006006717681884766,0.0,5.67116904258728,0.0,15,2,"{'n_neighbors': 15, 'p': 2}",0.9327026445925608,0.9327026445925608,0.0,1
17,0.003999948501586914,0.0,5.78117561340332,0.0,20,1,"{'n_neighbors': 20, 'p': 1}",0.9166302924487123,0.9166302924487123,0.0,11
17,0.030005216598510742,0.0,5.676156997680664,0.0,20,2,"{'n_neighbors': 20, 'p': 2}",0.9316313284292516,0.9316313284292516,0.0,2
17,0.03898358345031738,0.0,5.747144937515259,0.0,25,1,"{'n_neighbors': 25, 'p': 1}",0.9197837837837838,0.9197837837837838,0.0,7
17,0.004000425338745117,0.0,5.683172941207886,0.0,25,2,"{'n_neighbors': 25, 'p': 2}",0.9300924930092493,0.9300924930092493,0.0,6
17,0.005001544952392578,0.0,5.596174478530884,0.0,30,1,"{'n_neighbors': 30, 'p': 1}",0.9188601261692407,0.9188601261692407,0.0,9
17,0.006003379821777344,0.0,5.808168172836304,0.0,30,2,"{'n_neighbors': 30, 'p': 2}",0.9311688311688312,0.9311688311688312,0.0,5
16,0.07001781463623047,0.0,4.4868552684783936,0.0,5,1,"{'n_neighbors': 5, 'p': 1}",0.9227105434076641,0.9227105434076641,0.0,7
16,0.07098841667175293,0.0,4.562872409820557,0.0,5,2,"{'n_neighbors': 5, 'p': 2}",0.9335347432024169,0.9335347432024169,0.0,3
16,0.06961464881896973,0.0,4.4082441329956055,0.0,10,1,"{'n_neighbors': 10, 'p': 1}",0.919676077916393,0.919676077916393,0.0,10
16,0.004999399185180664,0.0,4.682842493057251,0.0,10,2,"{'n_neighbors': 10, 'p': 2}",0.9316743069198865,0.9316743069198865,0.0,6
16,0.0059986114501953125,0.0,4.589844226837158,0.0,15,1,"{'n_neighbors': 15, 'p': 1}",0.9192921881743633,0.9192921881743633,0.0,11
16,0.008002042770385742,0.0,4.631839990615845,0.0,15,2,"{'n_neighbors': 15, 'p': 2}",0.934941835415769,0.934941835415769,0.0,1
16,0.005999565124511719,0.0,4.3598408699035645,0.0,20,1,"{'n_neighbors': 20, 'p': 1}",0.9201222173723266,0.9201222173723266,0.0,9
16,0.01099848747253418,0.0,4.671844005584717,0.0,20,2,"{'n_neighbors': 20, 'p': 2}",0.9341706366392378,0.9341706366392378,0.0,2
16,0.02404189109802246,0.0,4.62546181678772,0.0,25,1,"{'n_neighbors': 25, 'p': 1}",0.9225443530938988,0.9225443530938988,0.0,8
16,0.03498435020446777,0.0,4.614467144012451,0.0,25,2,"{'n_neighbors': 25, 'p': 2}",0.9318719105953148,0.9318719105953148,0.0,5
16,0.04099750518798828,0.0,4.523859024047852,0.0,30,1,"{'n_neighbors': 30, 'p': 1}",0.9181184668989547,0.9181184668989547,0.0,12
16,0.03237748146057129,0.0,4.6334662437438965,0.0,30,2,"{'n_neighbors': 30, 'p': 2}",0.9323243243243244,0.9323243243243244,0.0,4
15,0.07800006866455078,0.0,1.5170011520385742,0.0,5,1,"{'n_neighbors': 5, 'p': 1}",0.9243442445263386,0.9243442445263386,0.0,7
15,0.07599925994873047,0.0,1.2479994297027588,0.0,5,2,"{'n_neighbors': 5, 'p': 2}",0.9341394947095659,0.9341394947095659,0.0,3
15,0.07600045204162598,0.0,1.6869988441467285,0.0,10,1,"{'n_neighbors': 10, 'p': 1}",0.9218647406434668,0.9218647406434668,0.0,9
